zeta,omega_n,best_lambda,best_discounted_task_return
0.3,4.0,6.0,128.32494444881982
0.3,6.0,6.0,271.7740692780306
0.3,8.0,6.0,340.93040258132515
0.3,10.0,6.0,390.6522349393491
0.3,12.0,6.0,477.1515451620288
0.4,4.0,6.0,205.5475317740421
0.4,6.0,6.0,311.9381507380712
0.4,8.0,6.0,413.70174993987376
0.4,10.0,6.0,517.6927430682149
0.4,12.0,6.0,533.471338906916
0.7,4.0,6.0,399.9322840338627
0.7,6.0,6.0,493.10793458933927
0.7,8.0,0.0,578.1615116094379
0.7,10.0,0.0,616.7722422936254
0.7,12.0,0.0,623.7459082999874
1.0,4.0,0.0,465.90860085815206
1.0,6.0,0.0,567.5020315152572
1.0,8.0,0.0,598.6004357978975
1.0,10.0,0.0,612.0103335953074
1.0,12.0,0.0,619.3906307092178
